time,EAR
17:28:572896,0
17:28:572896,0
17:28:572896,0
17:28:572896,1
17:28:572896,1
17:30:226479,0
17:30:226479,0
17:30:226479,1
17:30:226479,1
17:30:226479,1
17:30:226479,1
17:30:226479,1
17:30:226479,1
17:30:226479,1
17:30:226479,0
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:31:844126,1
17:33:534916,1
17:33:534916,1
17:33:534916,0
17:33:534916,1
17:33:534916,1
17:33:534916,1
17:33:534916,1
17:33:534916,1
17:33:534916,1
17:33:534916,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:35:190490,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:36:876088,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:38:557654,1
17:40:241531,1
17:40:241531,1
17:40:241531,1
17:40:241531,0
17:40:241531,0
17:40:241531,1
17:40:241531,1
17:40:241531,1
17:40:241531,1
17:40:241531,1
17:41:983261,1
17:41:983261,1
17:41:983261,1
17:41:983261,1
17:41:983261,0
17:41:983261,0
17:41:983261,0
17:43:681835,0
17:43:681835,0
17:43:681835,0
17:43:681835,0
17:43:681835,0
17:43:681835,0
17:43:681835,1
17:43:681835,0
17:43:681835,1
17:43:681835,1
17:45:319370,0
17:45:319370,1
17:45:319370,0
17:46:973021,1
17:46:973021,0
17:46:973021,0
17:46:973021,1
17:46:973021,0
17:46:973021,0
17:46:973021,0
17:46:973021,1
17:46:973021,1
17:53:640915,0
17:53:640915,0
17:53:640915,1
17:53:640915,0
17:55:281962,0
17:55:281962,0
17:55:281962,1
17:55:281962,1
17:55:281962,1
17:55:281962,1
17:55:281962,1
17:55:281962,1
17:55:281962,1
17:55:281962,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:56:989170,1
17:58:672282,1
17:58:672282,1
17:58:672282,1
17:58:672282,1
17:58:672282,1
17:58:672282,1
17:58:672282,1
17:58:672282,1
